Bin1: centrality∈[0,10％]
Bin2: centrality∈[10％,20％]
Bin3: centrality∈[20％,30％]
Bin4: centrality∈[30％,100％]
Bin5: centrality∈[0,100％]
Bin1: ΔM=-0.05452999GeV	Δσ=0.02556944GeV
Bin2: ΔM=-0.09295331GeV	Δσ=0.00927622GeV
Bin3: ΔM=-0.10301422GeV	Δσ=0.01413988GeV
Bin4: ΔM=-0.10978844GeV	Δσ=0.02480193GeV
Bin5: ΔM=-0.08155228GeV	Δσ=0.03130393GeV
x=0.4 tauB=0.32fm/c a=2.
Bin1: ΔM=-0.04171169GeV	Δσ=0.01954107GeV
Bin2: ΔM=-0.07176876GeV	Δσ=0.00676134GeV
Bin3: ΔM=-0.08112179GeV	Δσ=0.01058250GeV
Bin4: ΔM=-0.08875610GeV	Δσ=0.01812034GeV
Bin5: ΔM=-0.06375306GeV	Δσ=0.02489595GeV
x=0.4 tauB=0.32fm/c a=2.5
Bin1: ΔM=-0.03485348GeV	Δσ=0.01635596GeV
Bin2: ΔM=-0.06022426GeV	Δσ=0.00659511GeV
Bin3: ΔM=-0.06880198GeV	Δσ=0.01047874GeV
Bin4: ΔM=-0.07641725GeV	Δσ=0.01751464GeV
Bin5: ΔM=-0.05389109GeV	Δσ=0.02184936GeV
x=0.4 tauB=0.32fm/c a=3.
Bin1: ΔM=-0.03088601GeV	Δσ=0.01452041GeV
Bin2: ΔM=-0.05340955GeV	Δσ=0.00654849GeV
Bin3: ΔM=-0.06126724GeV	Δσ=0.01060270GeV
Bin4: ΔM=-0.06868976GeV	Δσ=0.01752178GeV
Bin5: ΔM=-0.04798429GeV	Δσ=0.02003635GeV
x=0.4 tauB=0.4fm/c a=1.
Bin1: ΔM=-0.11170933GeV	Δσ=0.06472917GeV
Bin2: ΔM=-0.18611659GeV	Δσ=0.09749747GeV
Bin3: ΔM=-0.19958820GeV	Δσ=0.13863240GeV
Bin4: ΔM=-0.20356892GeV	Δσ=0.19150948GeV
Bin5: ΔM=-0.16043604GeV	Δσ=0.12375663GeV
x=0.4 tauB=0.4fm/c a=1.5
Bin1: ΔM=-0.06589144GeV	Δσ=0.03113031GeV
Bin2: ΔM=-0.11208527GeV	Δσ=0.01546045GeV
Bin3: ΔM=-0.12395167GeV	Δσ=0.02326583GeV
Bin4: ΔM=-0.13197209GeV	Δσ=0.03909080GeV
Bin5: ΔM=-0.09828092GeV	Δσ=0.04001634GeV
x=0.4 tauB=0.4fm/c a=2.
Bin1: ΔM=-0.05211181GeV	Δσ=0.02448152GeV
Bin2: ΔM=-0.08946521GeV	Δσ=0.01028051GeV
Bin3: ΔM=-0.10088464GeV	Δσ=0.01597658GeV
Bin4: ΔM=-0.10993263GeV	Δσ=0.02668756GeV
Bin5: ΔM=-0.07935858GeV	Δσ=0.03179179GeV
x=0.4 tauB=0.4fm/c a=2.5
Bin1: ΔM=-0.04456595GeV	Δσ=0.02100410GeV
Bin2: ΔM=-0.07692013GeV	Δσ=0.00982096GeV
Bin3: ΔM=-0.08749883GeV	Δσ=0.01555608GeV
Bin4: ΔM=-0.09685052GeV	Δσ=0.02562385GeV
Bin5: ΔM=-0.06866112GeV	Δσ=0.02852639GeV
x=0.4 tauB=0.4fm/c a=3.
Bin1: ΔM=-0.04002975GeV	Δσ=0.01888635GeV
Bin2: ΔM=-0.06910062GeV	Δσ=0.00985403GeV
Bin3: ΔM=-0.07912434GeV	Δσ=0.01582617GeV
Bin4: ΔM=-0.08837326GeV	Δσ=0.02566800GeV
Bin5: ΔM=-0.06200072GeV	Δσ=0.02661792GeV
x=0.6 tauB=0.08fm/c a=1.
Bin1: ΔM=-0.05104761GeV	Δσ=0.02388603GeV
Bin2: ΔM=-0.08555812GeV	Δσ=0.00860719GeV
Bin3: ΔM=-0.09226277GeV	Δσ=0.01216344GeV
Bin4: ΔM=-0.09491066GeV	Δσ=0.02066771GeV
Bin5: ΔM=-0.07393990GeV	Δσ=0.02710352GeV
x=0.6 tauB=0.08fm/c a=1.5
Bin1: ΔM=-0.02038228GeV	Δσ=0.00953831GeV
Bin2: ΔM=-0.03517641GeV	Δσ=0.00135263GeV
Bin3: ΔM=-0.03950706GeV	Δσ=0.00185469GeV
Bin4: ΔM=-0.04277911GeV	Δσ=0.00487082GeV
Bin5: ΔM=-0.03105503GeV	Δσ=0.01138947GeV
x=0.6 tauB=0.08fm/c a=2.
Bin1: ΔM=-0.01198844GeV	Δσ=0.00562080GeV
Bin2: ΔM=-0.02091892GeV	Δσ=0.00099560GeV
Bin3: ΔM=-0.02400473GeV	Δσ=0.00150391GeV
Bin4: ΔM=-0.02687592GeV	Δσ=0.00318437GeV
Bin5: ΔM=-0.01874531GeV	Δσ=0.00718001GeV
x=0.6 tauB=0.08fm/c a=2.5
Bin1: ΔM=-0.00844464GeV	Δσ=0.00394161GeV
Bin2: ΔM=-0.01465104GeV	Δσ=0.00077544GeV
Bin3: ΔM=-0.01691770GeV	Δσ=0.00128556GeV
Bin4: ΔM=-0.01922673GeV	Δσ=0.00250247GeV
Bin5: ΔM=-0.01323625GeV	Δσ=0.00513875GeV
x=0.6 tauB=0.08fm/c a=3.
Bin1: ΔM=-0.00671837GeV	Δσ=0.00312512GeV
Bin2: ΔM=-0.01157073GeV	Δσ=0.00067131GeV
Bin3: ΔM=-0.01333838GeV	Δσ=0.00118438GeV
Bin4: ΔM=-0.01523178GeV	Δσ=0.00219167GeV
Bin5: ΔM=-0.01047869GeV	Δσ=0.00407953GeV
x=0.6 tauB=0.16fm/c a=1.
Bin1: ΔM=-0.08195376GeV	Δσ=0.04061953GeV
Bin2: ΔM=-0.13731378GeV	Δσ=0.03673882GeV
Bin3: ΔM=-0.14800787GeV	Δσ=0.05227129GeV
Bin4: ΔM=-0.15217313GeV	Δσ=0.07566731GeV
Bin5: ΔM=-0.11864164GeV	Δσ=0.05863759GeV
x=0.6 tauB=0.16fm/c a=1.5
Bin1: ΔM=-0.03935900GeV	Δσ=0.01839195GeV
Bin2: ΔM=-0.06733226GeV	Δσ=0.00492026GeV
Bin3: ΔM=-0.07506692GeV	Δσ=0.00742230GeV
Bin4: ΔM=-0.08052793GeV	Δσ=0.01382945GeV
Bin5: ΔM=-0.05926108GeV	Δσ=0.02208590GeV
x=0.6 tauB=0.16fm/c a=2.
Bin1: ΔM=-0.02666868GeV	Δσ=0.01249936GeV
Bin2: ΔM=-0.04612049GeV	Δσ=0.00404757GeV
Bin3: ΔM=-0.05247165GeV	Δσ=0.00643213GeV
Bin4: ΔM=-0.05793810GeV	Δσ=0.01118970GeV
Bin5: ΔM=-0.04112455GeV	Δσ=0.01612970GeV
x=0.6 tauB=0.16fm/c a=2.5
Bin1: ΔM=-0.02054887GeV	Δσ=0.00964128GeV
Bin2: ΔM=-0.03557984GeV	Δσ=0.00375694GeV
Bin3: ΔM=-0.04082326GeV	Δσ=0.00616722GeV
Bin4: ΔM=-0.04579412GeV	Δσ=0.01037855GeV
Bin5: ΔM=-0.03196229GeV	Δσ=0.01304723GeV
x=0.6 tauB=0.16fm/c a=3.
Bin1: ΔM=-0.01733659GeV	Δσ=0.00813405GeV
Bin2: ΔM=-0.02992142GeV	Δσ=0.00362670GeV
Bin3: ΔM=-0.03440085GeV	Δσ=0.00599840GeV
Bin4: ΔM=-0.03884220GeV	Δσ=0.00993092GeV
Bin5: ΔM=-0.02697150GeV	Δσ=0.01130615GeV
x=0.6 tauB=0.24fm/c a=1.
Bin1: ΔM=-0.10724573GeV	Δσ=0.05945949GeV
Bin2: ΔM=-0.17965558GeV	Δσ=0.08212383GeV
Bin3: ΔM=-0.19347620GeV	Δσ=0.11702944GeV
Bin4: ΔM=-0.19911057GeV	Δσ=0.16334299GeV
Bin5: ΔM=-0.15521045GeV	Δσ=0.10807004GeV
x=0.6 tauB=0.24fm/c a=1.5
Bin1: ΔM=-0.05666886GeV	Δσ=0.02665847GeV
Bin2: ΔM=-0.09659640GeV	Δσ=0.01155537GeV
Bin3: ΔM=-0.10733083GeV	Δσ=0.01754523GeV
Bin4: ΔM=-0.11506285GeV	Δσ=0.02923430GeV
Bin5: ΔM=-0.08496388GeV	Δσ=0.03362127GeV
x=0.6 tauB=0.24fm/c a=2.
Bin1: ΔM=-0.04124158GeV	Δσ=0.01941608GeV
Bin2: ΔM=-0.07093925GeV	Δσ=0.00907904GeV
Bin3: ΔM=-0.08034311GeV	Δσ=0.01436723GeV
Bin4: ΔM=-0.08816918GeV	Δσ=0.02312975GeV
Bin5: ΔM=-0.06312320GeV	Δσ=0.02596288GeV
x=0.6 tauB=0.24fm/c a=2.5
Bin1: ΔM=-0.03331843GeV	Δσ=0.01576735GeV
Bin2: ΔM=-0.05752109GeV	Δσ=0.00877280GeV
Bin3: ΔM=-0.06573204GeV	Δσ=0.01419565GeV
Bin4: ΔM=-0.07317898GeV	Δσ=0.02290289GeV
Bin5: ΔM=-0.05152104GeV	Δσ=0.02251305GeV
x=0.6 tauB=0.24fm/c a=3.
Bin1: ΔM=-0.02887078GeV	Δσ=0.01371894GeV
Bin2: ΔM=-0.04982143GeV	Δσ=0.00870579GeV
Bin3: ΔM=-0.05715552GeV	Δσ=0.01416927GeV
Bin4: ΔM=-0.06419543GeV	Δσ=0.02281200GeV
Bin5: ΔM=-0.04480733GeV	Δσ=0.02053646GeV
x=0.6 tauB=0.32fm/c a=1.
Bin1: ΔM=-0.12926852GeV	Δσ=0.08298540GeV
Bin2: ΔM=-0.21691583GeV	Δσ=0.14246509GeV
Bin3: ΔM=-0.23351734GeV	Δσ=0.20166540GeV
Bin4: ΔM=-0.23998766GeV	Δσ=0.27756978GeV
Bin5: ΔM=-0.18722270GeV	Δσ=0.17418678GeV
x=0.6 tauB=0.32fm/c a=1.5
Bin1: ΔM=-0.07279375GeV	Δσ=0.03474671GeV
Bin2: ΔM=-0.12401356GeV	Δσ=0.02159716GeV
Bin3: ΔM=-0.13761163GeV	Δσ=0.03262937GeV
Bin4: ΔM=-0.14744080GeV	Δσ=0.05259586GeV
Bin5: ΔM=-0.10901835GeV	Δσ=0.04753825GeV
x=0.6 tauB=0.32fm/c a=2.
Bin1: ΔM=-0.05542025GeV	Δσ=0.02633578GeV
Bin2: ΔM=-0.09516409GeV	Δσ=0.01559702GeV
Bin3: ΔM=-0.10743390GeV	Δσ=0.02466023GeV
Bin4: ΔM=-0.11748031GeV	Δσ=0.03886965GeV
Bin5: ΔM=-0.08452433GeV	Δσ=0.03691449GeV
x=0.6 tauB=0.32fm/c a=2.5
Bin1: ΔM=-0.04615822GeV	Δσ=0.02208157GeV
Bin2: ΔM=-0.07956540GeV	Δσ=0.01521210GeV
Bin3: ΔM=-0.09071888GeV	Δσ=0.02429608GeV
Bin4: ΔM=-0.10065734GeV	Δσ=0.03857956GeV
Bin5: ΔM=-0.07116370GeV	Δσ=0.03323642GeV
x=0.6 tauB=0.32fm/c a=3.
Bin1: ΔM=-0.04079384GeV	Δσ=0.01965172GeV
Bin2: ΔM=-0.07032485GeV	Δσ=0.01523903GeV
Bin3: ΔM=-0.08044685GeV	Δσ=0.02449993GeV
Bin4: ΔM=-0.09004397GeV	Δσ=0.03893189GeV
Bin5: ΔM=-0.06312827GeV	Δσ=0.03120267GeV
x=0.6 tauB=0.4fm/c a=1.
Bin1: ΔM=-0.14908615GeV	Δσ=0.11145227GeV
Bin2: ΔM=-0.24992550GeV	Δσ=0.21562053GeV
Bin3: ΔM=-0.26908498GeV	Δσ=0.30293220GeV
Bin4: ΔM=-0.27596675GeV	Δσ=0.40967930GeV
Bin5: ΔM=-0.21568339GeV	Δσ=0.25298506GeV
x=0.6 tauB=0.4fm/c a=1.5
Bin1: ΔM=-0.08785101GeV	Δσ=0.04289739GeV
Bin2: ΔM=-0.14978442GeV	Δσ=0.03535851GeV
Bin3: ΔM=-0.16622928GeV	Δσ=0.05340553GeV
Bin4: ΔM=-0.17780388GeV	Δσ=0.08470907GeV
Bin5: ΔM=-0.13159863GeV	Δσ=0.06502101GeV
x=0.6 tauB=0.4fm/c a=2.
Bin1: ΔM=-0.06915998GeV	Δσ=0.03320820GeV
Bin2: ΔM=-0.11855058GeV	Δσ=0.02364233GeV
Bin3: ΔM=-0.13376072GeV	Δσ=0.03676839GeV
Bin4: ΔM=-0.14595672GeV	Δσ=0.05763010GeV
Bin5: ΔM=-0.10526474GeV	Δσ=0.04896290GeV
x=0.6 tauB=0.4fm/c a=2.5
Bin1: ΔM=-0.05900597GeV	Δσ=0.02854223GeV
